timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673813383531,189,Patch user,200,OK,Crud users 1-116,text,true,,269,325,500,500,https://accor-fab.herokuapp.com/dev/users/7,189,0,0
1673813383531,189,Patch user,200,OK,Crud users 1-119,text,true,,269,326,500,500,https://accor-fab.herokuapp.com/dev/users/85,189,0,0
1673813382696,1024,Post user,500,Internal Server Error,Crud users 1-174,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,1024,0,703
1673813383439,281,Patch user,200,OK,Crud users 1-104,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/335,281,0,0
1673813382685,1035,Post user,200,OK,Crud users 1-168,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1035,0,717
1673813383559,162,Patch user,405,Method Not Allowed,Crud users 1-59,,false,,166,324,500,500,https://accor-fab.herokuapp.com/dev/users/,162,0,0
1673813382485,1236,Post user,200,OK,Crud users 1-68,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1236,0,843
1673813383437,284,Patch user,200,OK,Crud users 1-58,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/684,284,0,0
1673813383547,174,Patch user,405,Method Not Allowed,Crud users 1-100,,false,,166,324,500,500,https://accor-fab.herokuapp.com/dev/users/,174,0,0
1673813382552,1169,Post user,500,Internal Server Error,Crud users 1-102,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,1169,0,848
1673813383559,163,Patch user,405,Method Not Allowed,Crud users 1-67,,false,,166,324,500,500,https://accor-fab.herokuapp.com/dev/users/,163,0,0
1673813383547,175,Patch user,405,Method Not Allowed,Crud users 1-4,,false,,166,324,500,500,https://accor-fab.herokuapp.com/dev/users/,175,0,0
1673813382668,1054,Post user,200,OK,Crud users 1-160,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1054,0,735
1673813383560,162,Patch user,405,Method Not Allowed,Crud users 1-98,,false,,166,324,500,500,https://accor-fab.herokuapp.com/dev/users/,162,0,0
